DEPTH,CALI,DRHO,DT,DTS,GR,KTIM,NPHI,PPC1_CALI_NORM,RD,RHOB,RM,RS,RT,RXO,TVDMSL,CARB_FLAG,COAL_FLAG,KLOGH,PHIT,SAND_FLAG,VSH,FM. LABEL
1912.0104,12.2479,-0.0139,131.9179,,230.794,,0.5436,12.0944,1.5429,2.2867,1.5909,1.9137,1.5429,1.6495,1880.9437,,,1.4726,0.235181,0.0,0.7568,Draupne
1912.1628,12.2778,-0.0159,131.1593,,230.3387,,0.5496,12.1398,1.5797,2.2716,1.6302,1.9625,1.5797,1.6926,1881.0961,,,1.9972,0.244427,0.0,0.7503,Draupne
1912.3152,12.3002,-0.0156,130.9797,,224.4624,,0.564,12.1512,1.5551,2.2733,1.6073,1.9566,1.5551,1.704,1881.2485,,,1.6427,0.24335,0.0,0.7813,Draupne
1912.4676,12.2666,-0.0146,131.2553,,225.2128,,0.5378,12.1462,1.551,2.2788,1.6038,1.94,1.551,1.6751,1881.4009,,,1.8986,0.240018,0.0,0.7356,Draupne
1912.62,12.2553,-0.0139,131.6122,,224.0851,,0.5603,12.1466,1.5557,2.2829,1.61,1.9704,1.5557,1.7025,1881.5533,,,1.3525,0.237487,0.0,0.7856,Draupne
1912.7724,12.2666,-0.0134,131.6989,,227.5801,,0.5943,12.1563,1.5403,2.2796,1.5964,1.9671,1.5403,1.7032,1881.7057,,,1.0237,0.239535,0.0,0.8495,Draupne
1912.9248,12.2553,-0.0116,131.3652,,221.3864,,0.5673,12.1476,1.5337,2.2807,1.5846,1.9177,1.5337,1.6915,1881.858,,,1.3262,0.238855,0.0,0.7969,Draupne
1913.0772,12.2666,-0.0102,131.2472,,218.229,,0.5026,12.1698,1.5313,2.2805,1.5833,1.9218,1.5313,1.6486,1882.0105,,,2.6428,0.238961,0.0,0.6673,Draupne
1913.2296,12.3226,-0.0104,131.4403,,212.7049,,0.4655,12.1935,1.5036,2.2738,1.5565,1.8984,1.5036,1.6222,1882.1628,,,4.609,0.243058,0.0,0.5849,Draupne
1913.382,12.2778,-0.0099,131.9369,,216.5828,,0.5088,12.3115,1.5212,2.2718,1.5794,1.9414,1.5212,1.5855,1882.3153,,,3.0624,0.244309,0.0,0.669,Draupne
1913.5344,12.3675,-0.0118,132.5855,,218.2388,,0.589,12.1342,1.538,2.2674,1.5971,2.0339,1.538,1.5854,1882.4677,,,1.4584,0.247009,0.0,0.824,Draupne
1913.6868,12.2553,-0.0154,132.4538,,231.2964,,0.6579,12.1288,1.5604,2.264,1.6206,2.1118,1.5604,1.5978,1882.6201,,,0.7626,0.249053,0.0,0.9577,Draupne
1913.8392,12.2666,-0.0216,132.2151,,234.6194,,0.7715,12.1276,1.5745,2.2526,1.6349,2.1621,1.5745,1.5533,1882.7725,,,0.3029,0.256077,0.0,1.1708,Draupne
1913.9916,12.2553,-0.0274,131.8877,,236.8758,,0.7286,12.1105,1.6053,2.2483,1.6635,2.1735,1.6053,1.5495,1882.9249,,,0.5298,0.258709,0.0,1.0798,Draupne
1914.144,12.2628,-0.0259,131.4683,,223.2486,,0.7029,12.1008,1.6057,2.2583,1.6612,2.1007,1.6057,1.5715,1883.0773,,,0.5453,0.2526,0.0,1.0406,Draupne
1914.2964,12.2329,-0.0203,131.0041,,203.3559,,0.566,12.062,1.4867,2.2809,1.5422,1.9216,1.4867,1.5559,1883.2297,,,1.3356,0.238687,0.0,0.7946,Draupne
1914.4488,12.2254,-0.0113,130.7726,,198.515,,0.5215,12.1077,1.4612,2.2944,1.5125,1.8151,1.4612,1.4645,1883.3821,,,1.5387,0.230409,0.0,0.7222,Draupne
1914.6012,12.2179,-0.0061,130.1539,,191.3113,,0.5032,12.0786,1.4474,2.2889,1.4975,1.785,1.4474,1.4439,1883.5345,,,2.1402,0.233826,0.0,0.6787,Draupne
1914.7536,12.1132,-0.0021,129.4461,,186.5386,,0.5125,12.105,1.4498,2.2794,1.4988,1.7759,1.4498,1.342,1883.6869,,,2.4416,0.239605,0.0,0.6858,Draupne
1914.906,12.0759,-0.0007,129.0206,,183.249,,0.5746,12.0495,1.4683,2.2843,1.5207,1.8224,1.4683,1.3719,1883.8392,,,1.1224,0.236606,0.0,0.816,Draupne
1915.0584,12.0684,-0.002,129.7534,,178.7535,,0.523,12.0941,1.5072,2.3015,1.5627,1.922,1.5072,1.3808,1883.9917,,,1.2729,0.226045,0.0,0.7339,Draupne
1915.2108,12.1806,-0.0053,130.6645,,192.5374,,0.5449,12.088,1.539,2.3076,1.5964,1.9572,1.539,1.5101,1884.144,,,0.8707,0.222335,0.0,0.7851,Draupne
1915.3632,12.1993,-0.0072,130.91,,189.9302,,0.5848,12.0649,1.5552,2.2983,1.6111,1.9124,1.5552,1.5421,1884.2965,,,0.7163,0.228044,0.0,0.8535,Draupne
1915.5156,12.1656,-0.0061,130.3557,,190.7607,,0.6891,11.9597,1.4996,2.2864,1.5542,1.8564,1.4996,1.45,1884.4489,,,0.317,0.235316,0.0,0.923,Draupne
1915.668,12.1432,-0.0049,129.6039,,181.0989,,0.5873,12.0919,1.4993,2.2804,1.5533,1.8936,1.4993,1.4169,1884.6013,,,1.0799,0.239015,0.0,0.8366,Draupne
1915.8204,12.1656,-0.005,129.094,,184.7234,,0.5257,12.0641,1.5088,2.2893,1.5632,1.911,1.5088,1.4341,1884.7537,,,1.6665,0.233528,0.0,0.7243,Draupne
1915.9728,12.1993,-0.0088,129.151,,187.5445,,0.5095,12.0,1.5088,2.2937,1.5625,1.9363,1.5088,1.5872,1884.9061,,,1.7804,0.230879,0.0,0.6972,Draupne
1916.1252,12.1993,-0.0087,130.0746,,197.2635,,0.543,12.0802,1.4977,2.305,1.5516,1.9465,1.4977,1.6199,1885.0585,,,0.9471,0.223942,0.0,0.7781,Draupne
1916.2776,12.1993,-0.0071,131.4473,,200.8356,,0.5617,12.0509,1.4989,2.2996,1.5462,1.8904,1.4989,1.4607,1885.2109,,,0.8862,0.227245,0.0,0.8089,Draupne
